yearly.salary;age;elevel;car;region;credit;brand
110499.7354;54;4-Year College Degree;Mitsubishi;South Atlantic;354724.1825;
140893.7791;44;Master's, Doctoral or Professional Degree;None of the above;Mountain;395015.339;
119159.6517;49;Some College;BMW;West North Central;122025.0852;
20000;56;Less than High School Degree;Hyundai;Mid-Atlantic;99629.62146;
93956.32049;59;High School Degree;Mitsubishi;Mid-Atlantic;458679.8262;
41365.43328;71;Some College;Ford;East North Central;216839.7152;
94805.61113;32;High School Degree;Ram;Mid-Atlantic;233216.0707;
34410.6276;33;Master's, Doctoral or Professional Degree;Ram;New England;450707.3812;
128298.8212;32;High School Degree;Toyota;East North Central;20768.06415;
100806.9209;58;Some College;Honda;South Atlantic;293106.6546;
49863.40964;22;High School Degree;Lincoln;Mid-Atlantic;156086.6867;
94554.18804;47;Master's, Doctoral or Professional Degree;Lincoln;East North Central;100467.99;
79637.65823;41;Some College;BMW;West North Central;387564.5476;
87085.57895;40;Master's, Doctoral or Professional Degree;Hyundai;East North Central;458378.0004;
126945.6663;62;4-Year College Degree;Chevrolet;South Atlantic;211178.9014;
29080.92083;58;High School Degree;Mazda;West North Central;29965.97517;
147561.7258;28;Master's, Doctoral or Professional Degree;Dodge;Pacific;322196.3147;
72346.05201;37;4-Year College Degree;Mitsubishi;Pacific;403166.447;
52129.77195;44;4-Year College Degree;Hyundai;West South Central;73639.45893;
35640.04161;57;4-Year College Degree;Jeep;Pacific;91722.42434;
100868.9066;39;Less than High School Degree;Chrysler;East North Central;300078.3626;
98780.08068;77;High School Degree;Lincoln;West South Central;139597.9537;
140685.8197;73;Some College;Honda;Mid-Atlantic;185189.3088;
109305.1954;31;Some College;Ram;New England;166310.2379;
117212.3783;30;4-Year College Degree;Dodge;Mountain;260175.807;
41430.31861;53;Some College;Jeep;East South Central;7023.300616;
56118.04644;69;Master's, Doctoral or Professional Degree;Buick;Pacific;41596.72091;
79203.78449;75;Some College;Chevrolet;New England;461032.0939;
136189.4317;56;Less than High School Degree;Lincoln;West South Central;152598.1311;
67249.51459;30;Some College;Kia;West South Central;455241.0776;
22854.2421;72;Some College;Dodge;Mid-Atlantic;321523.4878;
30211.41075;41;Less than High School Degree;Toyota;South Atlantic;481293.5213;
116690.5653;50;Some College;Jeep;Mid-Atlantic;199885.5631;
94375.87719;27;4-Year College Degree;Subaru;South Atlantic;403469.11;
91129.12641;75;4-Year College Degree;Jeep;West South Central;328625.351;
94446.2489;67;4-Year College Degree;Honda;East South Central;352264.6121;
83858.10407;20;Master's, Doctoral or Professional Degree;Chrysler;Pacific;51211.42228;
49898.09807;72;Master's, Doctoral or Professional Degree;Lincoln;West South Central;484565.2146;
27323.5208;30;Less than High School Degree;Ram;Pacific;233145.8521;
73249.47943;27;Less than High School Degree;Buick;Mid-Atlantic;49875.72997;
40408.25989;54;Some College;Mercedes Benz;New England;437909.3552;
48225.18379;25;Master's, Doctoral or Professional Degree;Dodge;West North Central;179703.2016;
45520.00972;33;High School Degree;Mercedes Benz;East North Central;138640.2199;
30372.27565;80;Less than High School Degree;Chrysler;West North Central;481605.8996;
33167.37542;26;High School Degree;Subaru;West South Central;475809.1777;
55260.32748;59;Some College;Ford;West South Central;450971.8521;
